Kód okresu,Kód obce,Názov okresu,Názov obce,Pohlavie,Ekonomické vekové skupiny,abs.
SK0106,SK0106504629,Okres Malacky,Plavecké Podhradie,muž,predproduktívny vek (0-14 rokov),41
SK0106,SK0106504629,Okres Malacky,Plavecké Podhradie,muž,produktívny vek (15-64 rokov),275
SK0106,SK0106504629,Okres Malacky,Plavecké Podhradie,muž,poproduktívny vek (65 a viac rokov),42
SK0106,SK0106504629,Okres Malacky,Plavecké Podhradie,žena,predproduktívny vek (0-14 rokov),38
SK0106,SK0106504629,Okres Malacky,Plavecké Podhradie,žena,produktívny vek (15-64 rokov),227
SK0106,SK0106504629,Okres Malacky,Plavecké Podhradie,žena,poproduktívny vek (65 a viac rokov),75
SK0106,SK0106504637,Okres Malacky,Plavecký Mikuláš,muž,predproduktívny vek (0-14 rokov),56
SK0106,SK0106504637,Okres Malacky,Plavecký Mikuláš,muž,produktívny vek (15-64 rokov),263
SK0106,SK0106504637,Okres Malacky,Plavecký Mikuláš,muž,poproduktívny vek (65 a viac rokov),52
SK0106,SK0106504637,Okres Malacky,Plavecký Mikuláš,žena,predproduktívny vek (0-14 rokov),60
SK0106,SK0106504637,Okres Malacky,Plavecký Mikuláš,žena,produktívny vek (15-64 rokov),227
SK0106,SK0106504637,Okres Malacky,Plavecký Mikuláš,žena,poproduktívny vek (65 a viac rokov),82
SK0106,SK0106504769,Okres Malacky,Rohožník (Okres Malacky),muž,predproduktívny vek (0-14 rokov),323
SK0106,SK0106504769,Okres Malacky,Rohožník (Okres Malacky),muž,produktívny vek (15-64 rokov),1257
SK0106,SK0106504769,Okres Malacky,Rohožník (Okres Malacky),muž,poproduktívny vek (65 a viac rokov),231
SK0106,SK0106504769,Okres Malacky,Rohožník (Okres Malacky),žena,predproduktívny vek (0-14 rokov),311
SK0106,SK0106504769,Okres Malacky,Rohožník (Okres Malacky),žena,produktívny vek (15-64 rokov),1223
SK0106,SK0106504769,Okres Malacky,Rohožník (Okres Malacky),žena,poproduktívny vek (65 a viac rokov),271
SK0106,SK0106504858,Okres Malacky,Sološnica,muž,predproduktívny vek (0-14 rokov),144
SK0106,SK0106504858,Okres Malacky,Sološnica,muž,produktívny vek (15-64 rokov),557
SK0106,SK0106504858,Okres Malacky,Sološnica,muž,poproduktívny vek (65 a viac rokov),120
SK0106,SK0106504858,Okres Malacky,Sološnica,žena,predproduktívny vek (0-14 rokov),130
SK0106,SK0106504858,Okres Malacky,Sološnica,žena,produktívny vek (15-64 rokov),545
SK0106,SK0106504858,Okres Malacky,Sološnica,žena,poproduktívny vek (65 a viac rokov),175
SK0106,SK0106504874,Okres Malacky,Studienka,muž,predproduktívny vek (0-14 rokov),141
SK0106,SK0106504874,Okres Malacky,Studienka,muž,produktívny vek (15-64 rokov),590
SK0106,SK0106504874,Okres Malacky,Studienka,muž,poproduktívny vek (65 a viac rokov),116
SK0106,SK0106504874,Okres Malacky,Studienka,žena,predproduktívny vek (0-14 rokov),106
SK0106,SK0106504874,Okres Malacky,Studienka,žena,produktívny vek (15-64 rokov),559
SK0106,SK0106504874,Okres Malacky,Studienka,žena,poproduktívny vek (65 a viac rokov),173
SK0106,SK0106504947,Okres Malacky,Veľké Leváre,muž,predproduktívny vek (0-14 rokov),266
SK0106,SK0106504947,Okres Malacky,Veľké Leváre,muž,produktívny vek (15-64 rokov),1327
SK0106,SK0106504947,Okres Malacky,Veľké Leváre,muž,poproduktívny vek (65 a viac rokov),239
SK0106,SK0106504947,Okres Malacky,Veľké Leváre,žena,predproduktívny vek (0-14 rokov),273
SK0106,SK0106504947,Okres Malacky,Veľké Leváre,žena,produktívny vek (15-64 rokov),1279
SK0106,SK0106504947,Okres Malacky,Veľké Leváre,žena,poproduktívny vek (65 a viac rokov),335
SK0106,SK0106504980,Okres Malacky,Závod,muž,predproduktívny vek (0-14 rokov),258
SK0106,SK0106504980,Okres Malacky,Závod,muž,produktívny vek (15-64 rokov),1039
SK0106,SK0106504980,Okres Malacky,Závod,muž,poproduktívny vek (65 a viac rokov),167
SK0106,SK0106504980,Okres Malacky,Závod,žena,predproduktívny vek (0-14 rokov),265
SK0106,SK0106504980,Okres Malacky,Závod,žena,produktívny vek (15-64 rokov),991
SK0106,SK0106504980,Okres Malacky,Závod,žena,poproduktívny vek (65 a viac rokov),258
SK0106,SK0106507831,Okres Malacky,Borinka,muž,predproduktívny vek (0-14 rokov),100
SK0106,SK0106507831,Okres Malacky,Borinka,muž,produktívny vek (15-64 rokov),278
SK0106,SK0106507831,Okres Malacky,Borinka,muž,poproduktívny vek (65 a viac rokov),74
SK0106,SK0106507831,Okres Malacky,Borinka,žena,predproduktívny vek (0-14 rokov),72
SK0106,SK0106507831,Okres Malacky,Borinka,žena,produktívny vek (15-64 rokov),257
SK0106,SK0106507831,Okres Malacky,Borinka,žena,poproduktívny vek (65 a viac rokov),79
SK0106,SK0106507890,Okres Malacky,Gajary,muž,predproduktívny vek (0-14 rokov),253
SK0106,SK0106507890,Okres Malacky,Gajary,muž,produktívny vek (15-64 rokov),1140
SK0106,SK0106507890,Okres Malacky,Gajary,muž,poproduktívny vek (65 a viac rokov),217
