Zoznam kandidátov na starostu obce,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Politický subjekt,Poznámka
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,4,Peter,Tydlitát,Ing.,56,technik,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,1,Peter,Hittman,,47,polygraf,"SNS, SMER - SD",
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,2,Ondrej,Klamo,,41,súkromný podnikateľ,NEKA,X
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,3,Ondrej,Uhliarik,Ing.,48,starosta,KDH,
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,1,Jakub,Dolina,,26,profesionálny vojak,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,2,Juraj,Ferenčák,Ing.,42,projektový manažér,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,3,Peter,Gajdár,Mgr.,66,starosta,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,4,Andrea,Kubecová,Mgr.,51,koordinátorka opatrovateľskej služby,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,5,Jana,Martincová,,59,nezamestnaná,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508012,Kostolište,1,Hubert,Danihel,Mgr.,48,starosta obce,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,1,Róbert,Bujna,,58,starosta,"KDH, SaS",
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,2,Miroslava,Fraňová,Mgr.,40,špecialistka podpory riešení,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,1,Štefan,Fogl,Bc.,41,nezamestnaný,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,2,Pavel,Chmela,Mgr.,58,živnostník,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,3,Marcel,Toth,,38,podnikateľ,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,1,Ľubomír,Húbek,,63,majster výroby,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,2,Ján,Kličman,,42,podnikateľ,Hlas - sociálna demokracia,
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,3,Ľuboš,Tvrdoň,Mgr.,49,starosta,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,4,Marián,Závodný,Mgr.,37,riaditeľ,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,1,Otto,Múčka,PhDr.,59,štátny zamestnanec,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,2,Juraj,Říha,"JUDr., Ing., PhD.",37,primátor mesta,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,3,Jaroslav,Sedlák,,54,informátor,NK/NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,4,Róbert,Šegeda,JUDr.,46,advokát,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,1,Tomáš,Maxian,Bc.,33,podnikateľ,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,2,Adrian,Pernecký,,38,starosta,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,1,Zuzana,Iváková,,39,vedúca stavebno - obchodnej spoločnosti,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,2,Eugen,Jeckel,Ing.,52,starosta,SOM Slovensko,
1,Bratislavský kraj,102,Malacky,106,Malacky,508161,Pernek,1,Martin,Ledník,Ing.,40,starosta,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,1,Július,Papán,Ing.,50,starosta obce,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,1,Marta,Hlavatá,Mgr.,29,"učiteľka, prekladateľka",NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,2,Radovan,Ščepka,Ing.,36,technik údržby,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,3,Peter,Válek,Ing.,43,starosta,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,1,Radoslav,Benkovič,,46,starosta obce,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,2,Karina,Polakovičová,Bc.,28,inštruktorka sociálnej rehabilitácie,SPOLU,
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,3,Peter,Profota,,65,podnikateľ-živnostník,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504769,Rohožník,1,Peter,Švaral,Mgr. et Mgr.,47,starosta obce,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504858,Sološnica,1,Anna,Čermáková,,49,starostka,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,1,Stanislav,Fupšo,,41,vodič-strojník,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,2,Ivona,Hlavenková,,55,administratívna pracovníčka,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,3,Teodor,Koporec,Mgr.,51,nezamestnaný,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,4,Zita,Kurová,Mgr.,64,dôchodkyňa,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,5,Damian,Malý,,54,záhradník,SPOLU,
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,6,Róbert,Orlík,,39,nastavovač,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,1,Hana,Haldová,Ing.,53,hlavná radkyňa,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,2,Peter,Novisedlák,"Mgr., MBA",57,primátor mesta,SOM Slovensko,
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,3,Marek,Petráš,Ing.,40,manažér,"SME RODINA, ZA ĽUDÍ",
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,4,Ján,Rigler,Ing.,48,výsluhový dôchodca,Hlas - sociálna demokracia,
1,Bratislavský kraj,102,Malacky,106,Malacky,508241,Suchohrad,1,Jozef,Temer,,54,starosta,"Hlas - sociálna demokracia, SMER - SD",
1,Bratislavský kraj,102,Malacky,106,Malacky,504947,Veľké Leváre,1,Richard,Nimsch,Ing.,42,starosta,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,1,Pavol,Blaha,,46,SZČO,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,2,Andrej,Dvoran,Mgr.,39,podnikateľ,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,3,Marián,Kohút,,52,podnikateľ,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,4,Robert,Navarčík,,46,nezamestnaný,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,1,Andrej,Bajtek,,58,podnikateľ,NOVA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,2,Pavol,Kožík,,38,konateľ,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,3,Martin,Lučánsky,,45,policajt,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,4,Igor,Meňhart,,53,bezpečnostný pracovník,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,5,Boris,Mészáros,Mgr.,48,policajt,NEKA,
